Model,Dataset,Batch Size,Learning Rate,Zero Stage,Loss Function,Epochs,Epoch Progress,Throughput,CPU Usage,Memory Usage,GPU Usage,GPU Memory Usage,Total Training Time,Accuracy,Precision,Recall
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,1,180.15,20.06,31.18,98.92,4461.47,277.55,11.40,0.21,0.23
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,2,180.59,20.36,31.32,99.07,4420.15,553.74,18.47,0.39,0.37
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,3,180.65,20.23,31.32,99.52,4391.39,830.33,23.43,0.51,0.47
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,4,180.66,20.40,31.37,99.61,4388.10,1107.04,28.74,0.58,0.57
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,5,180.70,20.08,31.39,99.52,4387.00,1383.51,28.62,0.61,0.57
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,6,180.72,20.29,31.39,98.94,4387.00,1660.04,33.33,0.67,0.67
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,7,180.70,20.19,31.40,99.62,4387.00,1936.87,32.71,0.68,0.66
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,8,180.65,20.17,31.40,99.46,4387.00,2214.19,35.50,0.73,0.71
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,9,180.65,20.21,31.46,99.70,4387.00,2491.03,36.33,0.74,0.73
AlexNet,CIFAR10,256,0.0005,0,CrossEntropy,10,10,180.64,20.16,31.49,99.30,4387.00,2767.92,37.41,0.75,0.75
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,1,132.33,19.71,31.09,99.48,4016.00,377.86,8.31,0.19,0.16
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,2,128.16,19.59,31.72,99.74,4016.00,780.30,18.00,0.40,0.36
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,3,126.83,19.76,31.87,99.72,4016.10,1182.73,23.10,0.53,0.47
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,4,126.17,19.53,31.90,99.41,4017.65,1585.12,28.55,0.60,0.57
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,5,125.81,19.48,31.90,99.65,4017.00,1987.16,30.78,0.64,0.62
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,6,125.56,19.63,31.88,99.45,4017.00,2389.37,33.52,0.68,0.67
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,7,125.38,19.60,31.89,99.69,4017.00,2791.62,35.13,0.72,0.70
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,8,125.24,19.80,31.88,99.42,4017.00,3193.95,36.19,0.73,0.73
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,9,125.13,19.57,31.88,99.67,4017.00,3596.17,36.75,0.74,0.74
AlexNet,CIFAR10,256,0.0005,1,CrossEntropy,10,10,125.06,19.59,31.87,99.60,3995.69,3997.98,38.15,0.76,0.76
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,1,180.31,19.81,31.17,98.82,4357.24,277.30,5.47,0.03,0.10
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,2,180.44,19.96,31.29,99.51,4359.00,554.19,17.34,0.40,0.34
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,3,180.37,20.05,31.56,99.28,4359.87,831.63,21.17,0.45,0.43
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,4,180.44,20.10,31.78,99.27,4360.00,1108.41,25.61,0.54,0.51
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,5,180.43,20.00,31.87,99.18,4360.00,1385.56,29.23,0.59,0.58
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,6,180.46,20.15,31.89,99.49,4360.00,1662.39,32.36,0.65,0.65
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,7,180.41,20.06,31.89,99.51,4360.00,1939.99,33.02,0.66,0.66
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,8,180.42,20.15,31.88,99.45,4360.00,2217.01,33.99,0.70,0.68
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,9,180.42,20.09,31.88,99.19,4360.00,2494.18,35.51,0.72,0.71
AlexNet,CIFAR10,256,0.0015,0,CrossEntropy,10,10,180.43,20.06,31.84,99.54,4360.00,2771.15,35.80,0.72,0.71
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,1,131.35,19.64,31.16,99.14,3989.00,380.67,8.84,0.09,0.17
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,2,127.90,19.60,31.60,99.18,3989.00,781.84,18.17,0.36,0.36
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,3,126.67,19.74,31.61,99.60,3989.00,1184.16,23.16,0.50,0.47
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,4,126.07,19.56,31.63,98.95,3989.87,1586.46,26.69,0.58,0.53
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,5,125.66,19.56,31.65,99.50,3989.00,1989.51,29.53,0.62,0.59
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,6,125.39,19.55,31.92,99.18,3989.00,2392.63,31.66,0.63,0.63
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,7,125.19,19.57,32.19,99.36,3989.00,2795.70,33.03,0.68,0.66
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,8,125.06,19.66,32.21,99.23,3989.00,3198.36,33.93,0.69,0.68
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,9,124.97,19.62,32.21,99.41,3989.00,3601.00,35.77,0.72,0.72
AlexNet,CIFAR10,256,0.0015,1,CrossEntropy,10,10,124.89,19.62,32.21,99.60,3989.00,4003.57,35.39,0.72,0.71
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,1,327.90,22.14,36.06,99.22,5687.00,152.49,4.93,0.06,0.10
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,2,328.45,22.34,36.26,99.18,5687.00,304.46,10.92,0.22,0.22
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,3,328.66,22.28,36.26,99.61,5687.00,456.39,15.15,0.23,0.30
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,4,328.66,22.27,36.29,99.29,5687.00,608.53,21.98,0.45,0.44
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,5,328.78,22.20,36.29,99.02,5687.00,760.39,23.77,0.49,0.48
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,6,328.70,22.50,36.30,99.76,5687.00,912.67,25.83,0.52,0.52
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,7,328.67,22.17,36.29,99.55,5687.61,1064.88,28.34,0.60,0.57
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,8,328.70,22.47,36.30,99.12,5689.76,1216.93,30.75,0.64,0.62
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,9,328.72,22.39,36.30,99.33,5687.00,1368.94,32.72,0.66,0.66
AlexNet,CIFAR10,512,0.0005,0,CrossEntropy,10,10,328.69,22.29,36.30,99.51,5687.00,1521.19,33.47,0.67,0.67
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,1,262.68,21.17,35.26,99.65,5267.00,190.34,5.08,0.01,0.10
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,2,246.96,20.93,35.60,99.35,5267.00,404.93,11.90,0.21,0.24
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,3,242.20,21.07,35.61,99.39,5267.00,619.31,11.88,0.25,0.24
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,4,239.86,21.17,35.78,98.86,5267.00,833.84,18.67,0.37,0.37
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,5,238.69,21.04,36.10,99.78,5267.00,1047.40,23.13,0.45,0.46
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,6,237.80,20.98,36.14,99.20,5267.00,1261.55,24.41,0.51,0.49
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,7,237.11,21.00,36.30,98.98,5267.00,1476.13,28.27,0.60,0.57
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,8,236.63,21.10,36.33,99.39,5267.00,1690.42,28.64,0.62,0.57
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,9,236.20,21.06,36.34,99.82,5267.00,1905.16,32.12,0.65,0.65
AlexNet,CIFAR10,512,0.0005,1,CrossEntropy,10,10,235.91,21.03,36.38,99.24,5267.00,2119.43,32.39,0.65,0.65
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,1,327.17,22.05,36.23,99.20,5687.00,152.82,6.59,0.12,0.13
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,2,327.44,22.38,36.54,99.20,5687.00,305.40,5.29,0.04,0.11
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,3,327.76,22.40,36.79,99.22,5687.00,457.65,8.90,0.16,0.18
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,4,327.79,22.36,36.80,98.39,5687.00,610.14,12.27,0.25,0.24
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,5,327.86,22.28,36.83,99.00,5687.00,762.52,19.87,0.41,0.40
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,6,327.91,22.39,36.96,99.12,5687.10,914.90,23.73,0.47,0.47
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,7,328.01,22.32,37.03,99.33,5690.67,1067.04,26.17,0.53,0.52
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,8,328.08,22.38,37.02,98.94,5687.00,1219.21,27.33,0.56,0.55
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,9,328.13,22.57,37.03,99.18,5687.00,1371.42,29.32,0.61,0.59
AlexNet,CIFAR10,512,0.0015,0,CrossEntropy,10,10,328.18,22.58,37.04,99.35,5687.00,1523.57,31.03,0.63,0.62
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,1,257.17,21.28,35.71,99.31,5029.33,194.42,4.92,0.01,0.10
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,2,243.57,21.12,35.87,98.22,4988.35,410.56,9.62,0.24,0.19
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,3,240.25,21.30,35.88,99.14,4961.29,624.36,15.25,0.38,0.31
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,4,238.45,21.29,35.90,99.47,4965.53,838.77,22.39,0.45,0.45
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,5,237.02,21.21,35.90,98.76,4962.27,1054.78,25.23,0.54,0.50
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,6,234.19,20.98,35.91,99.35,4960.51,1281.00,29.73,0.60,0.59
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,7,233.93,21.09,35.96,99.20,4963.78,1496.20,31.54,0.64,0.63
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,8,233.82,21.19,35.97,99.41,4962.10,1710.72,32.78,0.68,0.66
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,9,233.69,21.12,35.96,99.02,4964.73,1925.64,33.59,0.69,0.67
AlexNet,CIFAR10,512,0.0015,1,CrossEntropy,10,10,233.61,21.21,35.98,99.55,4963.37,2140.32,35.59,0.72,0.71
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,1,179.30,20.01,30.77,98.44,4050.35,278.86,1.44,0.01,0.03
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,2,179.16,20.27,31.40,99.12,4042.79,558.16,4.80,0.10,0.10
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,3,179.21,20.40,31.49,99.09,4042.59,836.99,8.51,0.24,0.17
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,4,179.11,20.17,31.73,99.32,4040.59,1116.65,12.66,0.29,0.25
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,5,179.20,20.29,31.84,99.49,4038.84,1395.07,14.81,0.32,0.30
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,6,179.28,20.24,31.85,99.05,4040.58,1673.39,16.92,0.36,0.34
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,7,179.34,20.19,31.86,98.95,4038.53,1951.59,18.11,0.37,0.36
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,8,179.36,20.26,31.86,99.18,4041.84,2230.11,20.41,0.43,0.41
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,9,179.32,20.18,31.86,99.15,4040.08,2509.47,22.04,0.45,0.44
AlexNet,CIFAR100,256,0.0005,0,CrossEntropy,10,10,179.32,20.20,31.82,99.22,4042.36,2788.26,21.80,0.46,0.44
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,1,130.96,19.57,30.94,99.30,3667.19,381.80,0.85,0.00,0.02
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,2,127.49,19.72,31.31,98.86,3669.66,784.39,4.10,0.06,0.08
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,3,126.02,19.68,31.32,98.97,3665.87,1190.25,8.23,0.17,0.16
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,4,125.48,19.60,31.38,99.45,3670.42,1593.84,11.79,0.25,0.24
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,5,125.27,19.68,31.39,99.27,3669.37,1995.61,14.19,0.30,0.28
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,6,125.09,19.43,31.63,98.62,3666.57,2398.22,16.41,0.38,0.33
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,7,124.94,19.47,31.97,98.84,3671.03,2801.43,18.03,0.36,0.36
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,8,124.81,19.61,32.06,99.15,3666.33,3204.86,19.73,0.42,0.39
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,9,124.71,19.63,32.08,99.15,3669.98,3608.34,21.55,0.44,0.43
AlexNet,CIFAR100,256,0.0005,1,CrossEntropy,10,10,124.63,19.65,32.06,99.26,3667.32,4011.99,22.28,0.46,0.45
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,1,179.40,20.16,31.10,98.90,4033.61,278.70,0.53,0.00,0.01
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,2,179.57,20.44,31.30,99.26,4038.47,556.87,3.79,0.06,0.07
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,3,179.75,20.40,31.30,99.28,4036.72,834.51,6.25,0.13,0.13
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,4,179.79,20.28,31.32,99.01,4039.41,1112.41,9.51,0.18,0.19
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,5,179.81,20.31,31.34,99.35,4043.54,1390.40,12.85,0.26,0.25
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,6,179.87,20.38,31.32,98.71,4042.31,1667.91,14.15,0.30,0.29
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,7,179.83,20.35,31.32,98.69,4039.07,1946.25,15.29,0.31,0.31
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,8,179.82,20.42,31.33,98.91,4041.00,2224.40,17.69,0.36,0.35
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,9,179.78,20.35,31.39,98.64,4041.52,2503.08,18.37,0.39,0.36
AlexNet,CIFAR100,256,0.0015,0,CrossEntropy,10,10,179.79,20.36,31.74,99.05,4045.21,2781.07,19.46,0.40,0.39
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,1,130.70,19.59,31.38,99.08,3667.19,382.56,1.22,0.00,0.02
AlexNet,CIFAR100,256,0.0015,1,CrossEntropy,10,2,126.94,19.75,32.00,98.90,3675.42,787.80,2.62,0.02,0.05
